time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,land_cover_value,land_cover
2022-12-05 00:54:30.511103232,434984.602166841,7765781.223971476,45.64756886071764,3.089349925963651,45.70398523846968,0.00942329341689728,-0.0007893132101196431,1,0.05641637775203634,-3.0329335482116146,51.0,Shrub
2022-12-05 00:54:30.512521472,434983.7410678192,7765791.183046259,45.65043991069696,0.0055192917396308366,45.702059306006376,0.00936327998247271,0.0006468334037634122,1,0.05161939530941595,0.04610010356978511,51.0,Shrub
2022-12-05 00:54:30.513938944,434982.87366480206,7765801.1558360085,45.627784858929715,0.020670157859328447,45.70600411014062,0.009299282067258795,-0.0009503131070190952,1,0.07821925121090345,0.057549093351575,51.0,Shrub
2022-12-05 00:54:30.515355136,434982.0006231698,7765811.113792812,45.59552736807623,0.028386484535815056,45.697942826123814,0.009655353015364607,-0.0014417053238004974,1,0.1024154580475809,0.07402897351176585,51.0,Shrub
2022-12-05 00:54:30.516771584,434981.12627741153,7765821.0859240005,45.58370709654194,0.06554550588731159,45.686730624138804,0.009877717166382666,0.0013168707422390963,1,0.10302352759686073,0.03747802170954914,51.0,Shrub
2022-12-05 00:54:30.518181632,434980.2321986722,7765831.041903387,45.60017069378995,0.03573252486662267,45.715082709768744,0.009523820830252258,0.007173550033236792,1,0.11491201597879552,0.07917949111217285,51.0,Shrub
2022-12-05 00:54:30.519592448,434979.2995194006,7765841.008520956,45.624861312888115,0.037685726499044093,45.759705807761726,0.0097161069673786,0.002643537254300262,1,0.1348444948736116,0.09715876837456752,51.0,Shrub
2022-12-05 00:54:30.520997632,434978.3525440021,7765850.959416956,45.66751644819975,0.05642397583526772,45.78378911715457,0.00929195235733679,0.001826162715636391,1,0.1162726689548208,0.059848693119553084,51.0,Shrub
2022-12-05 00:54:30.522402816,434977.3945522277,7765860.923636743,45.69406101478883,0.05245553176933408,45.75920776033993,0.009658644857780634,-0.005877475131373698,1,0.06514674555110389,0.012691213781769808,51.0,Shrub
2022-12-05 00:54:30.544909824,434961.54747366643,7766020.186779286,45.60865247332846,0.013442013090511748,45.70674692529765,0.009351533755399592,0.000703833290291888,1,0.09809445196918887,0.08465243887867711,51.0,Shrub
2022-12-05 00:54:30.550566656,434957.6414606874,7766060.007783782,45.499591160634225,0.021523179836989335,45.62529512731692,0.009034159976763963,-0.00577219305764731,1,0.12570396668269268,0.10418078684570334,51.0,Shrub
2022-12-05 00:54:30.553390848,434955.6947744793,7766079.918985116,45.42137978468031,0.013184727718509946,45.56943122677924,0.00915426030263297,-0.0014715264414582013,1,0.14805144209892518,0.13486671438041523,51.0,Shrub
2022-12-05 00:54:30.554802944,434954.7226411226,7766089.867460214,45.39901881655885,0.004177503491545367,45.55587236845072,0.00973052578826684,-0.00419367440106802,1,0.15685355189187078,0.15267604840032542,51.0,Shrub
2022-12-05 00:54:30.556211968,434953.74892883573,7766099.8301636195,45.35165541145746,0.030444626210160624,45.521473169652666,0.009964054812514887,-0.003291753964649907,1,0.16981775819520806,0.13937313198504744,51.0,Shrub
2022-12-05 00:54:30.557621760,434952.77658875845,7766109.778684924,45.33032260420201,0.04153866489501499,45.465841524478144,0.009923322898207607,-0.007512102396840146,1,0.13551892027613377,0.09398025538111879,51.0,Shrub
