time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,lon,lat,land_cover_value,land_cover,geometry
2022-10-04 16:35:36.508827904,430164.9244611749,7769294.785155598,41.94555753854032,0.03074987610552804,41.423269551878896,0.013451277091255893,0.002071972901549453,1,-0.522287986661425,-0.553037862766953,-148.83162556048194,70.02127445709878,51.0,Shrub,POINT (-148.83162556048194 70.02127445709878)
2022-10-04 16:35:36.538215424,430131.66964340594,7769087.324694386,42.3529003976078,0.03096275426422111,41.8229708018946,0.014009140452545317,0.007176158721074933,1,-0.5299295957131989,-0.56089234997742,-148.83233371370653,70.0194061113632,51.0,Shrub,POINT (-148.83233371370653 70.0194061113632)
2022-10-04 16:35:36.539628800,430130.036503671,7769077.446263607,42.37549933298526,0.03416799475862316,41.85652756623408,0.012201398186929398,-0.0010512575590640998,1,-0.5189717667511786,-0.5531397615098018,-148.83236873201574,70.01931713480917,51.0,Shrub,POINT (-148.83236873201574 70.01931713480917)
2022-10-04 16:35:36.542459392,430126.760017463,7769057.705286809,42.3831655400337,0.03262285510317222,41.85420762573216,0.01309969093002535,0.001942169468149361,1,-0.528957914301543,-0.5615807694047152,-148.83243904776953,70.01913932129754,51.0,Shrub,POINT (-148.83243904776953 70.01913932129754)
2022-10-04 16:35:36.552406784,430115.03110397776,7768988.659726216,42.48278155205041,0.03904889429515274,41.95267662799171,0.013072373837977293,0.0008519052199520508,1,-0.5301049240587048,-0.5691538183538576,-148.8326920270394,70.01851733230772,52.0,Shrub,POINT (-148.8326920270394 70.01851733230772)
2022-10-04 16:35:36.562385408,430103.5021728428,7768919.568510875,42.6356525913701,0.0326593833759544,42.109018753670526,0.013449081209675796,-9.702452255873276e-05,1,-0.5266338376995776,-0.559293221075532,-148.83293971454754,70.01789498765815,52.0,Shrub,POINT (-148.83293971454754 70.01789498765815)
2022-10-04 16:35:36.565235200,430100.32785943244,7768899.810843767,42.67038133541217,0.015421817288303013,42.16050175736869,0.015206437228319318,0.004277398158771786,1,-0.5098795780434813,-0.5253013953317843,-148.83300733002045,70.01771705186054,52.0,Shrub,POINT (-148.83300733002045 70.01771705186054)
2022-10-04 16:35:36.566658816,430098.7603228034,7768889.935682212,42.744632132816164,0.03227708047763059,42.23051280652439,0.016657037792122326,0.004408488089823915,1,-0.5141193262917767,-0.5463964067694073,-148.83304062605242,70.01762812215101,52.0,Shrub,POINT (-148.83304062605242 70.01762812215101)
2022-10-04 16:35:36.568082176,430097.20116299647,7768880.045481322,42.77309698927549,0.0107029186358215,42.27109282653713,0.013779917524840254,-0.0012692975837282061,1,-0.5020041627383591,-0.5127070813741806,-148.83307369042464,70.01753905990137,52.0,Shrub,POINT (-148.83307369042464 70.01753905990137)
2022-10-04 16:35:36.569502720,430095.6535203614,7768870.167231541,42.8017133014054,0.01795180517228134,42.27583779840571,0.01345284631738921,0.0015446785331676405,1,-0.5258755029996891,-0.5438273081719704,-148.83310646211737,70.01745010786291,52.0,Shrub,POINT (-148.83310646211737 70.01745010786291)
2022-10-04 16:35:36.570923264,430094.1115130936,7768860.27426869,42.807246437786716,0.022122633561266293,42.28767471487578,0.014855727813395319,0.003286048519119578,1,-0.5195717229109391,-0.5416943564722054,-148.83313907425634,70.01736102546978,52.0,Shrub,POINT (-148.83313907425634 70.01736102546978)
2022-10-04 16:35:36.575169536,430089.52711665136,7768830.616167367,42.821900805858974,0.02414421896077916,42.29115478603165,0.014692453043851852,0.008350365708055627,1,-0.5307460198273262,-0.5548902387881053,-148.83323583458844,70.01709397578131,51.0,Shrub,POINT (-148.83323583458844 70.01709397578131)
2022-10-04 16:35:36.579397888,430084.9689964069,7768800.940297638,42.927701506518744,0.004688746761244098,42.413445405379065,0.013019849127145789,-0.0025708545325779197,1,-0.5142561011396793,-0.5189448479009234,-148.83333188989494,70.01682677386911,51.0,Shrub,POINT (-148.83333188989494 70.01682677386911)
2022-10-04 16:35:36.580803328,430083.4545292503,7768791.05657731,42.92820094949275,0.01837236935333509,42.41684681697471,0.014306090036420457,0.0018623855296523585,1,-0.5113541325180364,-0.5297265018713715,-148.83336378571465,70.01673778169362,51.0,Shrub,POINT (-148.83336378571465 70.01673778169362)
2022-10-04 16:35:35.628841472,434391.7391763874,7775060.939999039,32.43112486525256,0.022378639307213042,31.904592705253897,0.017335477474374365,0.0028279716497879815,3,-0.5265321599986663,-0.5489107993058794,-148.72510918904487,70.07406125485112,52.0,Shrub,POINT (-148.72510918904487 70.07406125485112)
