,lat,lon,x,y,beam,is2_height,lidar_height,lidar_snow_depth,is2_snow_depth,geometry,snow_depth_residual
6265,64.88749,-147.6662,468452.67208459636,7196081.657433077,5,172.77786,171.72992012431882,0.9713238840726828,1.0479424245093014,POINT (-147.66619873046875 64.88748931884766),0.07661854043661864
6266,64.8866,-147.66643,468440.7861468375,7195982.294527634,5,173.94513,173.0275347429296,0.9836434476996815,0.9175946516016609,POINT (-147.6664276123047 64.8865966796875),-0.06604879609802061
6267,64.885704,-147.66666,468428.89949750016,7195882.931679178,5,176.58006,175.54923988734828,0.9036677984848175,1.030822978862659,POINT (-147.66665649414062 64.88570404052734),0.12715518037784157
6268,64.88481,-147.66689,468417.0121365939,7195783.568887709,5,178.62152,177.76391858664795,0.7579063383610698,0.8576024094458035,POINT (-147.66688537597656 64.88481140136719),0.09969607108473366
6269,64.88392,-147.6671,468405.8467073786,7195684.198534537,5,178.99413,177.86783807895392,0.6771855450487091,1.1262872872570142,POINT (-147.66709899902344 64.88391876220703),0.4491017422083051
6270,64.883026,-147.66733,468393.9579473279,7195584.835854238,5,180.08234,179.13499876220962,0.6683267738621598,0.9473376635716306,POINT (-147.66732788085938 64.88302612304688),0.27901088970947086
6272,64.88124,-147.6678,468369.4555774497,7195386.118291768,5,175.91689,175.08945478942488,0.682137317161723,0.8274305865516851,POINT (-147.6678009033203 64.88124084472656),0.14529326938996212
6273,64.88035,-147.66801,468358.28739794303,7195286.748155342,5,166.99817,166.1812955505463,0.8869371289676579,0.8168733947661906,POINT (-147.6680145263672 64.8803482055664),-0.07006373420146728
6274,64.879456,-147.66826,468345.6730286806,7195187.3933358025,5,166.19199,165.24981021086882,0.8197231789589621,0.9421758731155592,POINT (-147.6682586669922 64.87945556640625),0.1224526941565971
6275,64.87856,-147.6685,468333.0578999781,7195088.038579069,5,165.04425,164.07398419379697,0.8421563390877825,0.9702662944842757,POINT (-147.6685028076172 64.8785629272461),0.12810995539649317
6276,64.87767,-147.66873,468321.1648228561,7194988.676246421,5,165.5362,165.07346847809575,0.5013022005752154,0.46272536956050203,POINT (-147.66873168945312 64.87767028808594),-0.03857683101471332
6277,64.87678,-147.66895,468309.9938692219,7194889.306329426,5,165.56346,164.4433066251871,0.8435149627745153,1.1201546785238463,POINT (-147.6689453125 64.87677764892578),0.276639715749331
6278,64.875885,-147.66917,468298.0993930882,7194789.944108001,5,164.99332,163.79765977161313,0.9797201404722203,1.1956568787774984,POINT (-147.66917419433594 64.87588500976562),0.21593673830527804
6279,64.87499,-147.6694,468286.20420547656,7194690.581943595,5,165.33089,164.34640514256745,0.8294733507368386,0.9844816982528641,POINT (-147.66940307617188 64.87499237060547),0.15500834751602555
6280,64.8741,-147.66965,468273.5853995203,7194591.227486009,5,166.70697,165.46475929379426,0.9100059145522235,1.242210921049491,POINT (-147.66964721679688 64.87409973144531),0.3322050064972675
6281,64.87321,-147.66986,468262.4116958563,7194491.8577858545,5,167.81544,167.1165174685596,0.6815610310798988,0.6989274777294554,POINT (-147.66986083984375 64.87320709228516),0.017366446649556555
6282,64.872314,-147.67009,468250.5143738657,7194392.4957925305,5,168.82718,168.02562738026919,0.6212798988723736,0.8015515748089399,POINT (-147.6700897216797 64.872314453125),0.18027167593656634
6283,64.87142,-147.67033,468237.8933616587,7194293.1415144745,5,169.65646,168.71504027953875,0.9191712760742058,0.9414233435081201,POINT (-147.6703338623047 64.87142181396484),0.02225206743391428
6285,64.86964,-147.67079,468214.0951125645,7194094.417818627,5,170.86403,169.77334673955713,0.9978668475868594,1.0906821911069358,POINT (-147.67079162597656 64.86963653564453),0.09281534352007637
6286,64.868744,-147.67102,468202.1949208856,7193995.056056263,5,170.64319,170.1768879026032,0.2281249217431934,0.4663005739593018,POINT (-147.6710205078125 64.86874389648438),0.2381756522161084
6287,64.86785,-147.67123,468191.0170924257,7193895.686681457,5,174.15701,173.44275952782925,0.6539195860895137,0.7142534116238721,POINT (-147.67123413085938 64.86785125732422),0.0603338255343584
6290,64.86518,-147.67194,468154.5960674697,7193598.459805293,5,182.9526,182.5290179995713,0.689855428437256,0.4235882016005803,POINT (-147.67193603515625 64.86518096923828),-0.2662672268366757
6292,64.863396,-147.67238,468131.5110590717,7193399.729224328,5,184.95683,183.5290152681431,0.7014691087961707,1.4278176175990893,POINT (-147.67237854003906 64.86339569091797),0.7263485088029186
6293,64.8625,-147.67262,468118.8826964701,7193300.3755447725,5,174.16434,172.82137305346447,0.7533955261379255,1.3429641047386554,POINT (-147.67262268066406 64.86250305175781),0.5895685786007299
6294,64.86161,-147.67284,468107.7000589224,7193201.006549542,5,175.58401,174.8669271095461,0.6935653913950355,0.7170877830320137,POINT (-147.67283630371094 64.86161041259766),0.023522391636978224
6296,64.859825,-147.67331,468083.16292331147,7193002.291797852,5,167.32344,166.39254002337444,0.8017541015384092,0.9309005283833756,POINT (-147.67330932617188 64.85982513427734),0.12914642684496636
