,lat,lon,x,y,beam,is2_height,lidar_height,lidar_snow_depth,is2_snow_depth,geometry,snow_depth_residual
5874,65.237816,-147.4358,479631.84689084365,7235029.451800943,1,706.16095,705.7617974424616,1.2024798727488415,0.3991522645696932,POINT (-147.43580627441406 65.2378158569336),-0.8033276081791483
5875,65.23692,-147.43604,479620.4623420052,7234930.0415363135,1,698.25305,697.4858823641475,1.0825841213786567,0.7671693936649717,POINT (-147.43603515625 65.23692321777344),-0.31541472771368495
5876,65.23603,-147.43628,479608.363891825,7234830.6362574175,1,695.67096,695.3358900929805,1.18476588052225,0.3350693796757014,POINT (-147.436279296875 65.23603057861328),-0.8496965008465487
5878,65.234245,-147.43677,479584.1646976687,7234631.82588017,1,737.9028,737.4656587194268,1.2228976796116686,0.43711227666699415,POINT (-147.436767578125 65.23424530029297),-0.7857854029446745
5879,65.23335,-147.437,479572.7772106602,7234532.415841978,1,755.8501,755.281739152073,1.2740304410035046,0.568358504177013,POINT (-147.43699645996094 65.23335266113281),-0.7056719368264917
5880,65.23246,-147.43724,479560.6757261704,7234433.010800928,1,769.7963,768.9473397431391,1.28523642656176,0.8489859404546678,POINT (-147.43724060058594 65.23246002197266),-0.43625048610709216
5881,65.23157,-147.43748,479548.57347711426,7234333.605820071,1,780.8139,779.8341662691433,1.231780795563522,0.9797375394504115,POINT (-147.43748474121094 65.2315673828125),-0.2520432561131105
5882,65.230675,-147.43771,479537.1837925779,7234234.195951064,1,789.1081,788.0677952842459,1.178950487797186,1.0402979774728465,POINT (-147.43771362304688 65.23067474365234),-0.13865251032433945
5883,65.22979,-147.43797,479524.372587136,7234135.646329989,1,791.8748,790.7122244198894,1.244386309462404,1.1625924746418832,POINT (-147.43797302246094 65.22978973388672),-0.08179383482052072
5885,65.228004,-147.43843,479501.58954568947,7233936.826875574,1,774.06934,772.8946597648332,0.9806039409119812,1.17467617266675,POINT (-147.4384307861328 65.2280044555664),0.19407223175476884
5886,65.22711,-147.43866,479490.1969503033,7233837.417230265,1,758.98413,757.9374846178199,1.049991787915816,1.046646241555095,POINT (-147.43865966796875 65.22711181640625),-0.003345546360721041
5887,65.22622,-147.4389,479478.0901894029,7233738.012601844,1,741.0143,739.9474954634336,0.9981424580224607,1.0667867631289027,POINT (-147.43890380859375 65.2262191772461),0.06864430510644204
5888,65.22533,-147.43915,479465.9826639955,7233638.608033643,1,721.4691,720.5680796168101,1.030769264346398,0.9010365941273903,POINT (-147.43914794921875 65.22532653808594),-0.12973267021900758
5891,65.22265,-147.43983,479431.79613657505,7233340.379769321,1,657.6076,656.6643624566344,0.8111186351212238,0.9432425238343285,POINT (-147.43983459472656 65.22264862060547),0.13212388871310465
5892,65.221756,-147.44008,479419.6856253544,7233240.975433346,1,636.0079,635.3080212310399,0.9431977540794559,0.699852304116348,POINT (-147.44007873535156 65.22175598144531),-0.24334544996310792
5893,65.22086,-147.4403,479408.28794300184,7233141.566178481,1,615.6131,614.4091226256686,0.885866054405715,1.2039755188626486,POINT (-147.4403076171875 65.22086334228516),0.31810946445693367
5895,65.21908,-147.44078,479384.7767877738,7232942.752817194,1,582.5955,581.4629387007428,1.0632523446217275,1.132581318788425,POINT (-147.44078063964844 65.21907806396484),0.06932897416669759
5897,65.21729,-147.44125,479361.2626709588,7232743.939685489,1,585.75415,584.5628269720066,1.0341755993544877,1.1913234186183672,POINT (-147.44125366210938 65.21729278564453),0.15714781926387955
5900,65.214615,-147.44197,479325.62906210305,7232445.722917818,1,579.545,578.2786759990682,0.7398338144504886,1.2663069110880087,POINT (-147.4419708251953 65.21461486816406),0.5264730966375202
5901,65.21372,-147.4422,479314.2255528386,7232346.314110929,1,573.4659,572.7292944701057,0.7156067076990764,0.7365868775505078,POINT (-147.44219970703125 65.2137222290039),0.020980169851431363
5903,65.211945,-147.44269,479289.9946824036,7232148.356963995,1,518.22205,517.3361397778059,0.8452527681296543,0.8859061206316028,POINT (-147.44268798828125 65.21194458007812),0.04065335250194846
5904,65.21105,-147.44292,479278.5889792058,7232048.948326392,1,491.7976,490.89818946205986,0.8588281478331246,0.8994179598151391,POINT (-147.4429168701172 65.21105194091797),0.0405898119820145
5906,65.20927,-147.44339,479255.0615183347,7231850.136230709,1,448.35196,447.3724461903744,0.8689281265427932,0.9795130381412491,POINT (-147.44338989257812 65.20926666259766),0.11058491159845596
5907,65.208374,-147.44362,479243.65364227805,7231750.727759823,1,429.45462,428.4023591124707,0.8833582526935535,1.0522612488574055,POINT (-147.44361877441406 65.2083740234375),0.16890299616385196
5908,65.20748,-147.44385,479232.2450499646,7231651.319343606,1,409.10214,407.936905528724,0.8573073940911177,1.1652368052603492,POINT (-147.44384765625 65.20748138427734),0.30792941116923156
5909,65.20659,-147.44408,479220.8357414036,7231551.910982066,1,389.72766,388.67608732988833,0.8295883802782154,1.0515738029241675,POINT (-147.44407653808594 65.20658874511719),0.2219854226459521
5910,65.205696,-147.44432,479208.7117148082,7231452.507701794,1,370.0464,368.84371952831054,0.7949750150065261,1.2026671904394561,POINT (-147.44432067871094 65.20569610595703),0.40769217543293
5912,65.20391,-147.4448,479185.17541857244,7231253.696289764,1,333.13724,331.87058805040425,0.7807508880931308,1.2666494984238739,POINT (-147.44479370117188 65.20391082763672),0.4858986103307431
5913,65.20302,-147.44504,479173.04912311956,7231154.293187505,1,325.6057,324.6300305055937,0.8120102447881855,0.9756823850312912,POINT (-147.44503784179688 65.20301818847656),0.16367214024310572
5914,65.202126,-147.44527,479161.636161325,7231054.885107548,1,325.5633,324.9183229528181,0.8931122134049706,0.6449705042131768,POINT (-147.4452667236328 65.2021255493164),-0.2481417091917938
5919,65.19766,-147.44646,479102.4179551645,7230557.860683609,1,410.55777,410.11502395109954,0.9103319664143292,0.4427458242910802,POINT (-147.4464569091797 65.19766235351562),-0.467586142123249
5923,65.1941,-147.44742,479054.6074189272,7230161.0955135,1,441.91495,441.4315992456939,0.9828629791978359,0.48334826407170794,POINT (-147.44741821289062 65.19409942626953),-0.499514715126128
5924,65.19321,-147.44766,479042.47281624645,7230061.693063124,1,434.93292,434.3632372871107,0.9705340835701752,0.5696850761705718,POINT (-147.44766235351562 65.19320678710938),-0.4008490073996034
5925,65.192314,-147.4479,479030.3374493801,7229962.290673093,1,421.6993,421.14542457428956,0.9732203426204777,0.5538857284448113,POINT (-147.44790649414062 65.19231414794922),-0.4193346141756664
5926,65.19142,-147.44814,479018.91570449737,7229862.883271347,1,407.55243,407.2007123196858,0.9786037614423869,0.35171687953294395,POINT (-147.44813537597656 65.19142150878906),-0.626886881909443
5927,65.19053,-147.44836,479007.49324351555,7229763.475924329,1,393.05142,392.49832258378444,0.9122087235907139,0.5530995353561821,POINT (-147.4483642578125 65.1905288696289),-0.35910918823453186
5929,65.18874,-147.44884,478983.9317150225,7229564.666474754,1,364.09686,363.6301724355335,0.8860086195652165,0.46669035743525455,POINT (-147.44883728027344 65.1887435913086),-0.4193182621299619
5930,65.18785,-147.44907,478972.5070817594,7229465.259294677,1,352.24298,351.5227522780316,0.8702891310587232,0.7202286789996606,POINT (-147.44906616210938 65.18785095214844),-0.1500604520590626
5931,65.18696,-147.44931,478960.36722609506,7229365.857255217,1,340.73892,340.2439282502602,0.7703458389318835,0.4949938688804423,POINT (-147.44931030273438 65.18695831298828),-0.2753519700514412
5932,65.186066,-147.44954,478948.94113667385,7229266.450187361,1,328.43323,327.8644080649087,0.8425496596006294,0.5688194741538268,POINT (-147.4495391845703 65.18606567382812),-0.2737301854468026
5933,65.18517,-147.44978,478936.799776801,7229167.048265749,1,315.8146,315.1395852721334,0.9319442064620036,0.6750204407572369,POINT (-147.4497833251953 65.18517303466797),-0.2569237657047667
5934,65.18428,-147.45001,478925.3722312553,7229067.641310126,1,306.1032,305.3897580238847,0.8778102718329298,0.713452425334026,POINT (-147.45001220703125 65.18428039550781),-0.16435784649890384
5935,65.18339,-147.45026,478913.22936720826,7228968.239506379,1,299.6035,298.9734158903705,0.8861359915640268,0.6300692170513571,POINT (-147.45025634765625 65.18338775634766),-0.2560667745126697
5936,65.182495,-147.45049,478901.8003655716,7228868.8326630015,1,293.1129,292.51156333859,0.7811605522010722,0.6013517004724918,POINT (-147.4504852294922 65.1824951171875),-0.1798088517285804
5937,65.1816,-147.45073,478889.65599738463,7228769.43097713,1,288.65512,287.95184760493146,0.6962275656760332,0.7032732446779164,POINT (-147.4507293701172 65.18160247802734),0.007045679001883243
5938,65.18071,-147.45096,478878.2255396905,7228670.024246012,1,283.35513,282.5167219188904,0.8971847628110227,0.8384111377501995,POINT (-147.45095825195312 65.18070983886719),-0.058773625060823176
5939,65.179825,-147.4512,478866.0857449774,7228571.472962416,1,278.1056,277.45905351692824,0.8510450134014689,0.6465373033842639,POINT (-147.45120239257812 65.17982482910156),-0.20450771001720502
5940,65.17893,-147.45145,478853.93911187415,7228472.071454714,1,271.934,271.01708897858833,0.9003222990441253,0.9169014999272918,POINT (-147.45144653320312 65.1789321899414),0.016579200883166445
5941,65.17804,-147.45168,478842.5064611779,7228372.664893254,1,268.33755,267.2117566453535,1.2006468419578296,1.1257982862871359,POINT (-147.45167541503906 65.17803955078125),-0.0748485556706937
5942,65.17715,-147.4519,478831.073094508,7228273.258386574,1,267.21756,266.414024419465,0.9612288969827784,0.8035353949881028,POINT (-147.451904296875 65.1771469116211),-0.15769350199467558
5943,65.176254,-147.45215,478818.9242173509,7228173.857054295,1,266.17697,265.3942979581766,0.9318506151146276,0.782673477370281,POINT (-147.4521484375 65.17625427246094),-0.1491771377443466
5944,65.17536,-147.4524,478806.7745761738,7228074.455782432,1,264.89764,264.0573650130832,0.8428580090846667,0.8402790298855507,POINT (-147.452392578125 65.17536163330078),-0.0025789791991159827
5945,65.17447,-147.45262,478795.3390135642,7227975.0494455695,1,264.53436,263.94226557195793,0.9546841643812473,0.5920972210108175,POINT (-147.45262145996094 65.17446899414062),-0.36258694337042974
5946,65.17358,-147.45287,478783.18786840164,7227875.648291645,1,264.5149,263.4078406995505,0.8965474643626286,1.1070518785745094,POINT (-147.45286560058594 65.17357635498047),0.21050441421188082
5947,65.17268,-147.4531,478771.7508498858,7227776.2420671,1,264.541,263.49055981127856,0.9259577550534481,1.0504252961433167,POINT (-147.45309448242188 65.17268371582031),0.12446754108986857
5948,65.17179,-147.45334,478759.5982007721,7227676.841031126,1,272.31406,271.40903563326685,0.9625906161337069,0.9050207632175216,POINT (-147.45333862304688 65.17179107666016),-0.05756985291618533
5949,65.1709,-147.45357,478748.1597263835,7227577.434918913,1,283.0325,282.00208902886607,0.8700961166109173,1.0304121918370583,POINT (-147.4535675048828 65.1708984375),0.160316075226141
5950,65.170006,-147.45381,478736.00557335286,7227478.034000906,1,292.67453,292.06640373915377,0.9645589527213906,0.6081262901431046,POINT (-147.4538116455078 65.17000579833984),-0.356432662578286
5951,65.16911,-147.45406,478723.8506563618,7227378.633143339,1,301.88693,301.0840751956534,0.9263056571370788,0.8028571773934914,POINT (-147.4540557861328 65.16911315917969),-0.12344847974358741
5952,65.16822,-147.4543,478711.6949754179,7227279.232346215,1,309.94272,308.8936502614172,0.9107689961942248,1.0490682444421964,POINT (-147.4542999267578 65.16822052001953),0.13829924824797157
5953,65.16733,-147.45453,478700.2535653557,7227179.826461433,1,320.60266,319.73519719429817,0.949752867328433,0.8674639385143337,POINT (-147.45452880859375 65.16732788085938),-0.08228892881409933
5954,65.16644,-147.45477,478688.10250556516,7227081.276064897,1,328.32294,327.4704026406667,0.9305754144159736,0.8525343710520588,POINT (-147.45477294921875 65.16644287109375),-0.07804104336391482
5955,65.16555,-147.455,478676.659642769,7226981.870292368,1,342.80945,342.5034628577662,0.9461683062877186,0.3059853844213194,POINT (-147.4550018310547 65.1655502319336),-0.6401829218663992
5956,65.16466,-147.45526,478663.78585070267,7226882.474887762,1,363.64417,363.2368762508219,0.9780731516294519,0.407288788240578,POINT (-147.45526123046875 65.16465759277344),-0.5707843633888738
5957,65.163765,-147.45549,478652.34150813776,7226783.069230344,1,381.9817,381.513466582276,1.027185829608205,0.46822287084899017,POINT (-147.4554901123047 65.16376495361328),-0.5589629587592149
5958,65.16287,-147.45573,478640.18129496917,7226683.668790026,1,397.4304,396.5825885286849,1.0527569655737499,0.8478008756119948,POINT (-147.4557342529297 65.16287231445312),-0.20495608996175507
5959,65.16198,-147.45596,478628.7354967001,7226584.263245009,1,409.67395,408.72712363004683,1.0652929094170205,0.9468265652656669,POINT (-147.45596313476562 65.16197967529297),-0.1184663441513536
5960,65.16109,-147.4562,478616.5737797868,7226484.862922724,1,417.413,416.4573000624822,0.8857221580879555,0.9556943222834207,POINT (-147.45620727539062 65.16108703613281),0.06997216419546515
5961,65.160194,-147.45645,478604.41129899904,7226385.462660916,1,424.13217,422.9557532675023,0.9156960562035177,1.1764183633570724,POINT (-147.45645141601562 65.16019439697266),0.2607223071535547
5962,65.1593,-147.4567,478592.2480543479,7226286.062459585,1,432.8369,431.9967856672153,1.0693929734547185,0.8401283952846939,POINT (-147.45669555664062 65.1593017578125),-0.22926457817002466
5963,65.15841,-147.45694,478580.0840458409,7226186.662318735,1,441.3133,440.23347805899044,0.9384215736194461,1.0798153980408074,POINT (-147.45693969726562 65.15840911865234),0.14139382442136128
5964,65.15752,-147.45717,478568.634572416,7226087.257058865,1,449.55438,448.3958660254491,0.9952996539444662,1.158516298769655,POINT (-147.45716857910156 65.15751647949219),0.16321664482518872
5965,65.156624,-147.4574,478557.18438320793,7225987.851853852,1,453.43158,452.47315441353953,1.0450910488122163,0.9584251763042175,POINT (-147.4573974609375 65.15662384033203),-0.08666587250799873
5966,65.15573,-147.45764,478545.01813123986,7225888.45188866,1,452.93985,451.73039411661654,0.9845545926822629,1.2094557368990877,POINT (-147.4576416015625 65.15573120117188),0.22490114421682483
5968,65.15395,-147.45811,478521.40490026225,7225690.497229919,1,442.07288,440.83319832600387,1.1143709051885524,1.239677650558633,POINT (-147.45811462402344 65.1539535522461),0.12530674537008069
5969,65.15306,-147.45834,478509.95180298603,7225591.092249704,1,434.6807,433.56254489002816,1.1017340318578832,1.118149690049961,POINT (-147.45834350585938 65.15306091308594),0.016415658192077798
5970,65.15217,-147.45857,478498.49798996915,7225491.687324355,1,432.10425,431.1289188136963,0.9609547284923435,0.9753292331786838,POINT (-147.4585723876953 65.15216827392578),0.014374504686340273
5973,65.14949,-147.45929,478462.70122661145,7225193.4832866015,1,406.64294,405.40956227725434,1.2498241593447041,1.233382058683162,POINT (-147.45928955078125 65.14949035644531),-0.01644210066154206
5978,65.14503,-147.46046,478403.9791797224,7224696.470770717,1,298.7684,297.70283967716074,1.0539657710770918,1.065562422448636,POINT (-147.46046447753906 65.14502716064453),0.011596651371544198
5979,65.144135,-147.4607,478392.51882929605,7224597.066350287,1,286.0598,284.86872965614873,0.9921400425568003,1.19108479697627,POINT (-147.460693359375 65.14413452148438),0.19894475441946957
5981,65.14235,-147.46117,478368.8802743058,7224398.262901111,1,250.48996,250.01946070999074,1.215793918842943,0.4704990068061363,POINT (-147.46116638183594 65.14234924316406),-0.7452949120368066
5984,65.13967,-147.46187,478333.77478396,7224100.055542264,1,213.43364,212.595597171871,0.8678433328287656,0.8380423544961957,POINT (-147.4618682861328 65.1396713256836),-0.029800978332569894
5985,65.13878,-147.46211,478321.5942883893,7224000.656695014,1,212.90907,212.0328417726414,0.8877691949111749,0.876231103335158,POINT (-147.4621124267578 65.13877868652344),-0.011538091576016929
5986,65.137886,-147.46236,478309.4130291621,7223901.257908326,1,212.64867,211.7865287324089,0.845894090914118,0.8621376494270407,POINT (-147.4623565673828 65.13788604736328),0.016243558512922696
5987,65.13699,-147.46259,478297.946857599,7223801.8539381465,1,212.17856,211.49619819022527,0.5998868646325869,0.6823601593841033,POINT (-147.46258544921875 65.13699340820312),0.08247329475151643
5988,65.13611,-147.46281,478286.486202195,7223703.300301433,1,212.3483,211.6381213183592,0.8390765058145472,0.7101758007814283,POINT (-147.4628143310547 65.1361083984375),-0.1289007050331189
5989,65.135216,-147.46306,478274.3027033377,7223603.90169052,1,211.75902,210.54204812301012,0.725759411519578,1.2169698213258187,POINT (-147.4630584716797 65.13521575927734),0.49121040980624064
5990,65.13432,-147.46329,478262.8343640348,7223504.497887755,1,211.54727,210.65428587747581,0.9643526090309591,0.8929858510398105,POINT (-147.46328735351562 65.13432312011719),-0.07136675799114856
5991,65.13343,-147.46353,478250.6493619648,7223405.099395086,1,211.6322,210.89668340220416,0.9306311950874049,0.735518746233339,POINT (-147.46353149414062 65.13343048095703),-0.19511244885406587
5992,65.13254,-147.46378,478238.4635962903,7223305.700963003,1,212.82826,212.40434460044057,0.8926239671934046,0.42391772866099586,POINT (-147.46377563476562 65.13253784179688),-0.4687062385324088
5993,65.131645,-147.464,478226.9930622637,7223206.297330532,1,211.75876,210.9893986864887,1.0179351772389555,0.7693598584331767,POINT (-147.46400451660156 65.13164520263672),-0.24857531880577888
5871,65.23747,-147.50563,476368.23691618966,7235015.534338652,3,785.17487,783.9092511124328,1.0894639711410095,1.2656146102234516,POINT (-147.50563049316406 65.23747253417969),0.1761506390824421
5872,65.23658,-147.50587,476356.02904271433,7234916.14228156,3,787.70355,786.5235693763098,1.0538408416186296,1.1799828697839985,POINT (-147.50587463378906 65.23657989501953),0.1261420281653689
5873,65.23569,-147.5061,476344.5335949076,7234816.744564661,3,790.7914,789.6251190814877,1.2296476135417362,1.1662627544498037,POINT (-147.506103515625 65.23568725585938),-0.06338485909193259
5874,65.234795,-147.50635,476332.3242179511,7234717.352626305,3,793.4756,792.2571576666203,1.2122117999191173,1.2184282708797127,POINT (-147.50634765625 65.23479461669922),0.0062164709605954105
5875,65.2339,-147.50658,476320.827314763,7234617.955022498,3,796.8304,795.7089231328584,1.0228198472596077,1.1214601679228053,POINT (-147.50657653808594 65.23390197753906),0.09864032066319761
5876,65.23301,-147.5068,476309.3296959175,7234518.557473873,3,799.84015,798.7882683893544,1.0396773112931155,1.0518805364268928,POINT (-147.50680541992188 65.2330093383789),0.012203225133777362
5877,65.23212,-147.50703,476297.83136142406,7234419.159980431,3,802.1219,800.9917715416337,1.2066023994386337,1.1301156653975113,POINT (-147.5070343017578 65.23211669921875),-0.07648673404112238
5878,65.231224,-147.50728,476285.61900164705,7234319.768276678,3,803.06464,802.0024072651184,1.1961771350327226,1.0622289653503003,POINT (-147.5072784423828 65.2312240600586),-0.1339481696824223
5879,65.23033,-147.50752,476273.40587815765,7234220.376633767,3,802.0108,801.0535013526802,1.080224352663388,0.9573018699760496,POINT (-147.5075225830078 65.23033142089844),-0.1229224826873383
5880,65.22944,-147.50775,476261.90534868336,7234120.97931138,3,799.18335,798.2772403376184,1.106087872709299,0.9061092717565771,POINT (-147.50775146484375 65.22943878173828),-0.19997860095272202
